ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,RiskScore,LoanApproved
0,45,39948,617,0,4,22,13152,48,1,2,2,183,0.3544179188076587,1,2,0.3583355996981915,0,3,0,29,9,7632,1202,146111,19183,3329.0,0.7249720460524032,11,126928,0.199652,0.2275896303554705,419.8059915607372,0.1810771978253941,49.0,0
1,38,39709,628,0,0,15,26045,48,2,1,0,496,0.0878269682003487,5,3,0.330273669928854,0,1,0,21,9,4627,3460,53204,9595,3309.083333333333,0.9351320992549323,3,43609,0.207045,0.2010771214969362,794.0542382198969,0.3898524480253535,52.0,0
2,47,40724,570,0,1,26,17627,36,1,2,3,902,0.1374141042375972,2,0,0.2447291091328494,0,2,0,20,22,886,895,25176,128874,3393.6666666666665,0.8722406105782907,6,5205,0.217627,0.2125480098452577,666.4066876774697,0.4621569652325321,52.0,0
3,58,69084,545,0,3,34,37898,96,2,1,0,755,0.2675871369453283,2,1,0.4362442650682687,0,3,0,27,10,1675,1217,104822,5370,5757.0,0.8961547069636465,5,99452,0.300398,0.3009108491496013,1047.5069802292967,0.3130983116604649,54.0,0
4,37,103264,594,0,0,17,9184,36,1,1,0,274,0.3205353247385241,0,0,0.0788842122687955,0,1,0,26,27,1555,4981,244305,17286,8605.333333333334,0.9413687393229144,5,227019,0.197184,0.1759901787753283,330.17914048482373,0.0702098474378087,36.0,1
5,37,178310,626,1,4,16,15433,72,1,0,3,732,0.102211336838256,5,1,0.2593664008403899,0,1,1,16,19,2118,1223,67914,40843,14859.166666666666,0.7560793594714331,5,27071,0.217433,0.2176011551228336,385.5770741531959,0.0752112887097658,44.0,1
6,58,51250,564,0,3,39,12741,48,1,0,3,337,0.3673803425383352,6,1,0.1274727031804663,0,4,0,21,18,5161,1735,65624,43894,4270.833333333333,0.8842751265040522,5,21730,0.225741,0.2052709678061031,391.30035166528967,0.1705288628289459,50.0,0
7,49,97345,516,0,3,23,19634,12,0,5,0,288,0.2097675831677214,5,0,0.3955676351247315,0,4,0,19,11,781,74,50177,11556,8112.083333333333,0.9334924144306608,5,38621,0.226634,0.2091129420982145,1827.3600549751063,0.2607665587313296,42.400000000000006,1
8,34,116841,603,0,1,12,55353,60,0,5,2,638,0.1927011647841362,3,0,0.3132332595016429,1,1,0,25,29,1157,708,29632,49940,9736.75,0.7283969266537559,3,7711,0.258853,0.291539424809367,1762.1990260211653,0.2465092588411087,61.0,0
9,46,40615,612,0,0,19,25443,12,1,4,1,704,0.5124646439687668,3,2,0.5051480267602317,0,4,0,23,10,1028,446,129664,12852,3384.583333333333,0.6153232100036344,3,116812,0.184443,0.1972706023859007,2353.577423938191,0.9033837027516506,53.0,0
10,34,73646,478,0,0,10,48716,84,2,3,2,267,0.2112359879576895,4,1,0.0814447301385817,0,0,0,25,7,9266,3875,148966,20315,6137.166666666667,0.6784469665655821,4,128651,0.334716,0.3335388817645363,1504.4524892505112,0.2886433733129584,47.0,0
11,34,15000,591,0,1,11,30088,24,1,2,0,295,0.3121837751773506,5,1,0.3466856611903402,0,3,0,21,28,259,348,33062,3353,1250.0,0.8420154706035147,3,29709,0.209588,0.1824011978415739,1505.6095277284012,1.440487622182721,56.0,0
